team_id,tmid,player
41409,625034,Rodri Esteban
41409,578895,Adrián Gómez
41409,474754,Guille Cabrera
2047,1007746,Andrés López
2047,500782,Willy Vogt
2047,862733,Freddy Bomo
2047,850377,Duván Mosquera
2047,1220267,Duban Ayala
2047,430192,Aarón Rey
2047,529357,Aris Sörensen
2047,539800,Momodou Jaiteh
2047,622022,Evan Rossier
2047,778847,Alberto Trapero
2047,183313,Michael Gonçalves
2047,1195252,Jonatan Mayorga
2047,529315,Alexander Muci
2047,140082,Armando Sadiku
2047,1116061,Enrique Almeida
2047,925221,Elion Jashari
2047,707554,Fabio Lymann
2047,659270,Lendrit Shala
2047,379980,Meritan Shabani
2047,214770,Borja López
2047,625405,Noah Godwin
2047,902107,Mahir Rizvanovic
2047,607914,Johan Kury
2047,751033,Pierrick Moulin
2047,866281,Endrit Fetahu
2047,1046491,Alessandro Grano
2047,1123382,Elio Trochen
2047,199453,Sebastian Osigwe
2047,679217,Dion Dërmaku
2047,74741,Dragan Mihajlovic
163,363424,Luca Mack
163,421819,Stephan Seiler
163,678846,Ronaldo Dantas Fernandes
163,344647,Liridon Berisha
163,291383,Leon Schaffran
163,370979,Ayo Akinola
163,667458,Mischa Beeli
163,633972,Malik Sawadogo
163,590480,Milos Cocic
163,590478,Niklas Lang
163,507339,Mischa Eberhard
163,365112,Dominik Schwizer
163,303837,Mats Hammerich
163,405437,Marcel Monsberger
163,507333,Jonathan De Donno
163,651360,Brian Beyer
163,421821,Angelo Campos
163,682500,Javi Navarro
163,384104,Cédric Gasser
163,507398,Gabriele De Donno
163,692101,Alessio Hasler
163,114038,Nicolas Hasler
163,606968,Tim-Tiado Oehri
163,135344,Denis Simani
163,66708,Benjamin Büchel
163,728336,Nico Föllmi
58948,554817,Pablo Porrúa
58948,632705,Miguel Fernández
58948,719994,Edu Taboada
58948,300161,Dani Pedrosa
58948,1309811,Ian Tejero
58948,1458076,Rodri Fernández
58948,1394429,Sergio Prieto
58948,1149837,Dani Varela
58948,1130754,Gerard Puerto
58948,1020921,Marcos Mella
58948,892452,Brais Vidal
58948,892450,Ángel Muñiz
58948,892447,Pablo Carabán
58948,858026,Hugo Padín
58948,783091,Raúl Gómez
58948,783086,Álex Díaz
58948,774901,Israel Salgueiro
58948,740478,Ander Bellido
58948,721215,Ángel Landeira
58948,721213,Oscar López
61,324796,Timothé Cognat
61,372713,Florian Ayé
61,960164,Lilian Njoh
61,999886,Loun Srdanovic
61,391376,Lamine Fomba
61,243225,Samuel Mráz
61,358507,Bradley Mazikou
61,450417,Dylan Bronn
61,479268,Marco Burch
61,442552,Houboulang Mendes
61,340065,Yoan Severin
61,366045,Ablie Jallow
61,585958,Junior Kadile
61,413461,Giotto Morandi
61,1177475,Jamie Atangana
61,1177478,Malek Ishuayed
61,290016,Jérémy Guillemenot
61,913669,Téo Allix
61,322309,Gaël Ondoua
61,75816,Miroslav Stevanovic
61,1015818,Mardochée Miguel
61,78868,Joël Mall
61,237843,David Douline
61,88404,Steve Rouiller
61,170344,Jérémy Frick
61,1353562,Thomas Lopes
61,1206410,Louis Rieder
257,987770,Alessandro Vogt
257,1153544,Cyrill May
257,329373,Carlo Boukhalfa
257,507490,Christian Witzig
257,948736,Corsin Konietzke
257,254285,Lawrence Ati Zigi
257,333450,Jozo Stanic
257,392133,Tom Gaal
257,666977,Aliou Baldé
257,604324,Behar Neziri
257,179638,Lukas Görtler
257,693357,Hugo Vandermersch
257,284035,Chima Okoroji
257,499330,Mihailo Stevanovic
257,622722,Colin Kleine-Bekel
257,334213,Lukas Daschner
257,897461,Tiemoko Ouattara
257,1207708,Diego Besio
257,774771,Malamine Efekele
257,445788,Kevin Csoboth
257,883045,Enoch Owusu
257,196791,Lukas Watkowiak
257,1153553,Nino Weibel
257,1025234,Antonio Verinac
257,166679,Jordi Quintillà
257,410636,Betim Fazliji
257,707548,Bela Dumrath
257,1061068,Joel Ruiz
257,989329,Yannick Bujard
257,1065850,Pascal Büttiker
321,639058,Ilyas Chouaref
321,396822,Rilind Nivokazi
321,608160,Théo Berdayes
321,395671,Anthony Racioppi
321,534360,Donat Rrudhani
321,627196,Franck Surdez
321,585346,Baltazar
321,994389,Winsley Boteli
321,604780,Liam Chipperfield
321,346881,Jan Kronig
321,390168,Kreshnik Hajrizi
321,410634,Nias Hefti
321,316613,Ali Kabacalman
321,449590,Josias Lukembila
321,1153297,Adrien Llukes
321,796913,Noé Sow
321,649024,Lamine Diack
321,922621,Ryan Kessler
321,524710,Dejan Djokic
321,147501,Numa Lavanchy
321,569805,Marquinhos Cipriano
321,687241,Altin Shala
321,805763,Maxime Dubosson
321,191486,Benjamin Kololli
321,192968,Francesco Ruberto
321,807603,Nevio Biner
321,1061038,Simon Caillet
25483,253851,Adrián Trabanco
25483,1123632,Vicente Álvarez
25483,1121425,Javi Álvarez
25483,1022695,Guille Cueto
25483,803335,Aitor Elena
25483,721026,Xurde Méndez
25483,684965,Carlos Aramburu
25483,636316,Guille Thompson
25483,636310,Toquero
25483,534317,Pablo Tineo
25483,443181,Iván Fernández
25483,443179,Emilio Morilla
25483,283407,Míchel Secades
25483,133742,Álex Arias
25483,531375,David Ruiz
25483,935558,Shufeng Yang
25483,1065829,Álvaro San Martin
25483,1253912,Bautista Germanier
25483,1383881,Sergio Madrigal
25483,1457674,Sergio Arias
25483,1457675,Pablo Secades
25483,1457676,Miguel González
5507,1004950,Joris Manquant
5507,700223,Gilles Richard
5507,708436,Leorat Bega
5507,365103,Ruben Correia
5507,1404882,Kevin Soro
5507,534398,Melvin Mastil
5507,583015,Mayka Okuka
5507,667455,Burak Alili
5507,810971,Jarell Njiké Simo
5507,500760,Felipe Borges
5507,1376098,Juan Martín Ghia
5507,678841,Ethan Brandy
5507,1091572,Pedro Rodríguez
5507,471142,Yohan Aymon
5507,1292635,Ibrahim Mendes
5507,862753,Noah Grognuz
5507,807604,Rayan Stoll
5507,583534,Thomas Perchaud
5507,542100,Badara Diomandé
5507,521446,Luca Jaquenoud
5507,507471,Florian Hysenaj
5507,905926,Oumar Sarr
5507,1046520,Maxim Leclercq
5507,1292045,Shahin Edougué
5507,951660,Marwan Aubert
5507,866285,Hugo Parra
5507,691301,Mirco Mazzeo
5507,1208038,Hédy Bechar
5507,788767,Bozidar Vukovic
452,583058,Alvyn Sanches
452,750903,Jaouen Hadjam
452,500763,Marvin Keller
452,410787,Joël Monteiro
452,894668,Stefan Bukinac
452,395522,Samuel Essende
452,294791,Chris Bedia
452,651269,Armin Gigovic
452,654415,Alan Virginius
452,247555,Edimilson Fernandes
452,803401,Ryan Andrews
452,1066142,Dominik Pech
452,917120,Tanguy Zoukrou
452,250490,Christian Fassnacht
452,203125,Gregory Wüthrich
452,344576,Rayan Raveloson
452,507479,Darian Males
452,406008,Yan Valery
452,567217,Ebrima Colley
452,1138260,Olivier Mambwa
452,254965,Sandro Lauper
452,196435,Saidy Janko
452,1149925,Facinet Conte
452,119085,Loris Benito
452,902987,Mats Seiler
452,707530,Ardian Bajrami
452,254968,Dario Marzino
452,59082,Heinz Lindner
452,1061045,Ruben Salchli
70060,455247,Joseja
70060,954447,Josema Nicolás
70060,906433,Álvaro Serrano
70060,892429,Javi Alonso
70060,718588,Raúl Martínez
70060,583552,Feli Martínez
70060,623029,Guille Lozano
70060,529909,Álvaro González
70060,199872,Samuel López
70060,1457944,Jorge Palacios
70060,1457619,Fran Guerrero
70060,1457618,José Lepe
70060,1431787,Marc de Pedro
70060,1310566,Sergio Martínez
70060,1260483,Ismael Rubio
70060,1122664,Junior Hernández
70060,1043867,Pedro Peñalver
70060,1003911,Isaac Rodríguez
70060,530179,Hugo Guil
70060,854089,Paco Agulló
70060,794157,Chiqui
70060,722286,Víctor Hernández
850,346894,Tim Staubli
850,390167,Kastrijot Ndau
850,944830,Gentrit Muslija
850,950786,Djawal Kaiba
850,521443,David Jacovic
850,1111702,Noah Ato-Zandanga
850,935096,Mahamadou Diarra
850,807690,Marwane Hajij
850,793722,Julind Selmonaj
850,678847,Luuk Breedijk
850,633189,Edis Bytyqi
850,925212,Loris Schreiber
850,291896,Yannick Schmid
850,843728,Jean-Paul N'Djoli
850,560976,Umar Saho
850,499214,Orges Bunjaku
850,1168059,Uchenna Nwannah
850,1045966,Simon Tisch-Rottensteiner
850,862739,Yuro Bohon Diet
850,1322560,Parfait Coulibaly
850,1074130,Lutfi Dalipi
850,728357,Xhan Aliu
850,659282,Sérgio Correia
850,154635,Simone Rapp
850,728392,Altin Berisha
850,807962,Janis Keller
850,1061072,Janik Rutz
850,1145644,Janis Widmer
242,1061048,Rhodri Smith
242,583011,Andrin Hunziker
242,583054,Loïc Lüthi
242,507472,Alexandre Jankewitz
242,237677,Remo Arnold
242,346900,Nishan Burkart
242,507407,Théo Golliard
242,500758,Randy Schneider
242,68410,Stefanos Kapino
242,895697,Tibault Citherlet
242,610479,Bafodé Dansoko
242,294801,Souleymane Diaby
242,342063,Silvan Sidler
242,499196,Adrian Durrer
242,507467,Stéphane Cueni
242,863745,Emmanuel Essiam
242,690246,Francis Momoh
242,667464,Elias Maluvunu
242,265208,Mirlind Kryeziu
242,290040,Dario Ulrich
242,451483,Fabian Rohner
242,659326,Ledjan Sahitaj
242,279079,Lukas Mühl
242,130108,Pajtim Kasami
242,539811,Carmine Chiappetta
242,269526,Basil Stillhart
242,688604,Antonio Spagnoli
242,111430,Roman Buess
242,59246,Luca Zuffi
242,1208853,Noah Brogli
44129,355344,Kike Ferreres
44129,450668,Fernando Losada
44129,477042,Alberto Górriz
44129,604063,Josiño
44129,707271,Charlie Pérez
44129,267421,Gianluca Vaccarini
44129,727506,Cristian Abreu
44129,887252,Raúl Arroyo
44129,1024017,Jay Romero
44129,1157087,Peter Kwabena
44129,1461535,Miguel Quevedo
44129,1457905,Gianni Garippa
44129,1457904,Ashley Loor
44129,1457105,Juan Pablo Moreno
44129,1457104,Mario Pineda
44129,1457103,Sami El Ouarit
44129,1432016,Tommy Romero
44129,1409624,Joaquin Braga
44129,1394541,Santiago Rinaldi
44129,1113175,Adrian Oancea
44129,710491,David Sanz
16055,520395,Iago Novo
16055,719986,Fito
16055,1153675,Pedro Ramos
16055,466799,Antonio Sola
16055,930891,Darío Germil
16055,709340,Asier Grande
16055,268249,Isma Cerro
16055,928233,Younous Tassembedo
16055,916332,Adolfo González
16055,864498,Koke Sáiz
16055,783481,Keko Hevia
16055,725201,Nacho Pastor
16055,718178,Miguel Peña
16055,674429,Diego González
16055,636387,Álex Pérez
16055,1056969,Ander Barck
16055,1064414,Javirro
16055,217139,Santi Canedo
16055,1064142,Román Noya
16055,1210519,Frank Uwumiro
16055,1310801,Daniel Onyia
16055,1385657,Meli
527,707657,Karim Sow
527,1060454,Omar Janneh
527,667870,Jamie Roche
527,1227723,Gaoussou Diakité
527,900486,Gabriel Sigua
527,501709,Theo Bair
527,318707,Karlo Letica
527,970137,Beyatt Lekoueiry
527,546880,Brandon Soppy
527,629637,Kévin Mouanga
527,668941,Sékou Fofana
527,1020507,Theo Bergvall
527,638964,Nathan Butler-Oyedeji
527,382774,Nicky Beloko
527,272640,Morgan Poaty
527,511801,Alban Ajdini
527,847262,Seydou Traoré
527,1194813,Enzo Kana-Biyik
527,668259,Hamza Abdallah
527,923809,Dircssi Ngonzo
527,222859,Florent Mollet
527,1133978,Sékou Koné
527,183312,Olivier Custodio
527,866282,Souleymane N'Diaye
527,1177907,Ethan Bruchez
527,1060759,Rodolfo Lippo
527,165435,Thomas Castella
116,995817,Dorian Derbaci
116,274439,Shkelqim Vladi
116,98167,Valon Fazliu
116,937994,Elias Filet
116,647248,David Acquah
116,539804,Marvin Hübel
116,628618,Nassim Zoukit
116,458217,Serge Müller
116,754158,Daniel Afriyie
116,500096,Marcin Dickenmann
116,507495,Henri Koide
116,254972,Linus Obexer
116,659313,Ramon Guzzo
116,688620,Leon Frokaj
116,235491,Marco Thaler
116,729994,Victor Petit-Viretti
116,404028,Izer Aliu
116,684340,Ibrahima Cissé
116,465676,Thomás Chacón
116,629390,Silvan Schwegler
116,167190,Olivier Jäckle
116,167189,Andreas Hirzel
116,51356,Raúl Bobadilla
116,1049512,Berdan Senyurt
116,631838,Simon Zalokar
116,1267623,Gian Vogt
45352,530208,Javi González
45352,1288798,Hamza El Yahyaoui
45352,1262718,Gasolina
45352,1175202,Guy Eteme
45352,1113081,Mario Román
45352,1082628,Kelechi Onwugamba
45352,1077092,Perdi
45352,698480,Liam Ayad
45352,339825,Chele
45352,1073928,Diego Sánchez
45352,815976,Jesús Navajas
45352,1124009,Ismael Messaouri
45352,593481,Chadi Yakiry
45352,1238725,Omar Taoualy
45352,1253853,Robinho
45352,1253854,Iván Leno
45352,1256104,Mohamed Sylla
45352,558881,Iván Sánchez
45352,1457610,Abderrahman Miloudi
45352,1457611,Mohammed Fuseini
45352,1457613,Ilias Joumane
45352,1458111,Walid Hachouchi
45352,1532520,Chigozie Eze
8463,659353,Filipe de Carvalho
8463,934153,Valdes Ngana
8463,911223,Loris Giandomenico
8463,813164,Alexis Charveys
8463,698223,Joseph Ambassa
8463,346882,Yannick Marchand
8463,203926,Alan Omerovic
8463,688617,Yannis Ryter
8463,410871,Lorik Emini
8463,390170,Rijad Saliji
8463,372608,Josué Schmidt
8463,320834,Guillermo Padula
8463,317583,Bruno Morgado
8463,805486,Lois Ndema
8463,354898,Axel Bakayoko
8463,618386,Ruben Pousa
8463,342482,André Ribeiro
8463,284020,Florian Kamberi
8463,223380,Adonis Ajeti
8463,927407,Janis Lüthi
8463,925229,Cobel Sow García
8463,925220,Cyrill Emch
8463,927426,Timon Näpfer
8463,1137189,Stevan Raicevic
8463,121528,Berkay Dabanlı
8463,1170362,Nikola Rakic
260,794749,Cheveyo Tsawa
260,662208,Philippe Keny
260,427693,Matthias Phaëton
260,842357,Nelson Palacio
260,1068245,Umeh Emmanuel
260,507477,Bledian Krasniqi
260,1016904,David Vujevic
260,862748,Silas Huber
260,464190,Lindrit Kamberi
260,675622,Damienus Reverson
260,496767,Juan José Perea
260,626764,Livano Comenencia
260,126281,Alexander Hack
260,539809,Miguel Reichmuth
260,507484,Ilan Sauter
260,1015824,Neil Volken
260,453575,Jorge Segura
260,922291,Nevio Di Giusto
260,149716,Ivan Cavaleiro
260,1289190,Mohamed Bangoura
260,145115,Valon Berisha
260,804938,Daniel Ihendu
260,237986,Chris Kablan
260,165532,Yanick Brecher
260,1138250,Jill Stiel
260,911244,Sebastian Walker
260,691356,Selmin Hodza
260,1162282,Yevgen Morozov
260,866219,Cosimo Fiorini
50684,1184304,Domingo Mba
50684,715624,José Currás
50684,982894,Eric Iglesias
50684,390691,Adri Pérez
50684,625338,Marcos Bautista
50684,710275,Benji Núñez
50684,766580,Jacobo Guzmán
50684,888392,Iñaki León
50684,972389,Javi Tapia
50684,271092,Eduardo Loscos
50684,1337204,Tommy Fernández
50684,1069692,Álex Toper
50684,1068762,Dawda Dambelleh
50684,993516,Álvaro Domínguez
50684,741252,Aarón Alonso
50684,632503,Adrià Mercadal
50684,336863,Juanjo Chavalés
50684,1033847,Hugo López
50684,558890,Sergio Gómez
50684,128676,Gonzalo Llerena
50684,1348532,Juanma Cordero
50684,1434026,José Antonio Martín
50684,1508448,Antonio Hernández
91329,710475,Miguel García
91329,861312,Javi Bernal
91329,1457640,Toñito
91329,371249,Gabriel Pedroso
91329,1457639,Yassine Guettaf
91329,1404139,Vespi
91329,1404136,Fabio Souza
91329,1404135,Talyson Matos
91329,1404134,Bruno Fernandes
91329,1404133,May Haida
91329,1314085,Yago Fernández
91329,960421,David Elena
91329,951215,Victor Fernández
91329,888176,Fran Castro
91329,773794,Alfre Ramos
91329,766586,Rubén Cabeza
91329,678450,Juanan Cruz
91329,677249,Luismi Bueno
91329,664421,Ruby Atuse
91329,558888,Lolo Liberal
91329,558887,Dani Herrero
91329,501644,Jonathan Gómez
91329,378205,Gustavo Berraco
26,852024,Bénie Traoré
26,819215,Julien Duranville
26,859396,Metinho
26,569375,Koba Koindredi
26,322655,Flavius Daniliuc
26,353886,Keigo Tsunemoto
26,359409,Dominik Schmid
26,507344,Becir Omeragic
26,650350,Léo Leroy
26,952776,Andrej Bacanin
26,945345,Marin Soticek
26,928323,Ibrahim Salah
26,507488,Nicolas Vouilloz
26,705016,Finn van Breemen
26,86792,Xherdan Shaqiri
26,406973,Moritz Broschinski
26,195906,Albian Ajeti
26,1138255,Giacomo Koloto
26,659352,Dion Kacuri
26,290032,Kevin Rüegg
26,1015823,Marvin Akahomen
26,620312,Moussa Cissé
26,1223857,Kaio Eduardo
26,806015,Adriano Onyegbule
26,688605,Tim Pfeiffer
26,147027,Mirko Salvi
26,59238,Marwin Hitz
322,1030482,Jason Gnakpa
322,660520,Sidiki Camara
322,524384,Elias Pasche
322,417895,Lucas Pos
322,357251,Fabio Saiz
322,466918,Vegard Kongsro
322,923434,Ranjan Neelakandan
322,310361,Varol Tasar
322,286292,Ousmane Doumbia
322,284695,Kevin Martin
322,816124,Noha Lemina
322,479486,Robin Golliard
322,624910,Anthony Baron
322,810972,Patrick Weber
322,926334,Mahamat Thiam
322,154475,Aurélien Chappuis
322,534375,Mohamed Tijani
322,421810,Robin Busset
322,150963,Antonio Marchesano
322,69899,Anthony Sauthier
322,126514,William Le Pogam
322,65442,Dejan Sorgic
322,237664,Simon Enzler
322,876629,Mahamadou Kanouté
322,159317,Hélios Sessolo
322,180442,Niklas Gunnarsson
322,864381,Lorenzo Bittarelli
322,894261,Maxime Rouiller
322,911242,Martino Novaresi
434,421823,Matteo Di Giusto
434,582987,Adrian Bajrami
434,1201822,Lucas Silva
434,922791,Bung Meng Freimann
434,583038,Pascal Loretz
434,1087164,Oscar Kabwit
434,814489,Taisei Abe
434,707759,Lars Villiger
434,583055,Tyron Owusu
