tm_player_id,fotmob_player_id,fotmob_name,tm_name,status
1005583,1656860,Alysson Edward,Alysson,matched
184573,1368061,Samuel Iling-Junior,Victor Lindelöf,unmatched
253677,1683824,Ronnie Hollingshead,Tyrone Mings,unmatched
485706,1729841,Brian Madjo,Amadou Onana,unmatched
193116,1520063,Johan Manzambi,John McGinn,unmatched
184573,1513910,Kosta Nedeljkovic,Victor Lindelöf,unmatched
139208,209405,Virgil van Dijk,Virgil van Dijk,matched
451276,846005,Dominik Szoboszlai,Dominik Szoboszlai,matched
478573,956683,Ryan Gravenberch,Ryan Gravenberch,matched
434675,806552,Cody Gakpo,Cody Gakpo,matched
534033,831489,Alexis Mac Allister,Alexis Mac Allister,matched
598577,1152455,Florian Wirtz,Florian Wirtz,matched
105470,319784,Alisson Becker,Alisson,matched
730861,1195281,Milos Kerkez,Milos Kerkez,matched
433188,933768,Curtis Jones,Curtis Jones,matched
709726,1197030,Hugo Ekitiké,Hugo Ekitiké,matched
484547,966018,Jeremie Frimpong,Jeremie Frimpong,matched
624258,1113690,Conor Bradley,Conor Bradley,matched
502676,948800,Giorgi Mamardashvili,Giorgi Mamardashvili,matched
349066,690107,Alexander Isak,Alexander Isak,matched
256178,568571,Joseph Gomez,Joe Gomez,nickname
1108466,1597668,Rio Ngumoha,Rio Ngumoha,matched
341092,784510,Federico Chiesa,Federico Chiesa,matched
226049,582276,Freddie Woodman,Freddie Woodman,matched
146310,202643,Wataru Endo,Wataru Endo,matched
706815,963964,Harvey Elliott,Harvey Davies,unmatched
148455,1249634,Luke Chambers,Mohamed Salah,unmatched
105470,1355539,Calum Scanlon,Alisson,unmatched
706815,1236818,Harvey Davies,Harvey Davies,matched
534033,1231075,James McConnell,Alexis Mac Allister,unmatched
484547,1473534,Jérémy Jacquet,Jeremie Frimpong,unmatched
503679,671529,Konstantinos Tsimikas,Rhys Williams,unmatched
706815,1068920,Vítezslav Jaros,Harvey Davies,unmatched
1045123,1553105,Víctor Muñoz,Trey Nyoni,unmatched
1012564,1478295,Rayan,Rayan,matched
465555,1067256,Djordje Petrovic,Djordje Petrovic,matched
654539,1177358,Adrien Truffert,Adrien Truffert,matched
855256,1233655,Alex Scott,Alex Scott,matched
711337,1098096,Evanilson,Evanilson,matched
399434,789630,Marcus Tavernier,Marcus Tavernier,matched
611793,959407,James Hill,James Hill,matched
332705,729769,Tyler Adams,Tyler Adams,matched
955357,1460534,Junior Kroupi,Junior Kroupi,matched
463605,979752,Bafodé Diakité,Bafodé Diakité,matched
277033,674014,David Brooks,David Brooks,matched
532776,1079557,Amine Adli,Amine Adli,matched
61841,160447,Adam Smith,Adam Smith,matched
330659,794253,Justin Kluivert,Justin Kluivert,matched
188077,439369,Ryan Christie,Ryan Christie,matched
249089,562724,Lewis Cook,Lewis Cook,matched
989112,1666977,Veljko Milosavljevic,Veljko Milosavljevic,matched
251106,464486,Enes Ünal,Enes Ünal,matched
998101,1449690,Alex Tóth,Alex Tóth,matched
719673,1324871,Ben Gannon-Doak,Ben Gannon-Doak,matched
1009658,1358655,Julio Soler,Julio Soler,matched
654539,1697214,Ben Winterburn,Adrien Truffert,unmatched
711337,1253827,Daniel Jebbison,Evanilson,unmatched
711337,1096635,Will Dennis,Evanilson,unmatched
1009658,1699539,Jonny Stuttle,Julio Soler,unmatched
1012564,904021,Romain Faivre,Rayan,unmatched
1012564,956621,Max Aarons,Rayan,unmatched
532776,1027447,Julián Araujo,Amine Adli,unmatched
654539,1327406,Álvaro Rodriguez,Adrien Truffert,unmatched
903611,1287010,Nilson Angulo,Nilson Angulo,matched
646991,1125720,Robin Roefs,Robin Roefs,matched
515544,1067763,Trai Hume,Trai Hume,matched
727089,1359649,Noah Sadiki,Noah Sadiki,matched
633992,1049999,Enzo Le Fée,Enzo Le Fée,matched
111455,207236,Granit Xhaka,Granit Xhaka,matched
353032,751998,Omar Alderete,Omar Alderete,matched
348026,602304,Nordi Mukiele,Nordi Mukiele,matched
503686,974268,Daniel Ballard,Dan Ballard,nickname
240692,600524,Reinildo,Reinildo Mandava,matched
