tm_team_id,fotmob_team_id
11,9825
281,8456
985,10260
405,10252
31,8650
989,8678
289,8472
1237,10204
1148,9937
631,8455
931,9879
762,10261
29,8668
399,8463
873,9826
703,10203
148,8586
379,8654
1132,8191
543,8602
990,8669
677,9902
1028,10004
180,8466
641,8549
3008,8667
1112,9841
22,10170
1123,9850
337,8658
2288,10003
698,8427
350,8657
466,8411
1039,10172
1010,9817
512,10194
1020,8462
358,8451
164,8655
984,8659
988,8653
1003,8197
1035,10163
1198,8430
603,8344
1098,10007
1027,8484
355,8559
3684,10253
1031,8346
2262,8401
1110,9796
3820,9818
2805,8676
1032,9798
1181,8483
2454,9903
349,8283
1071,8528
2963,9792
1072,8677
3884,158319
1150,8351
6699,9833
1211,9799
1194,8119
1302,8651
8981,45729
991,8645
986,9834
34888,282326
1045,9819
1219,9786
1034,10005
2804,8175
352,9795
1078,9785
1042,9784
1060,8416
899,10006
2455,10104
11177,45723
3688,8671
2814,10173
3371,8680
3054,9896
3716,10262
1074,8313
3537,8647
12020,7946
6168,6350
1252,9916
1088,8493
1220,10196
3867,2488
2964,8412
2793,8652
3455,9828
1127,10195
2577,8488
2796,8345
3539,10254
3489,8646
2962,9915
12335,161801
4117,161812
972,10198
10391,161803
3456,6189
3052,158316
3717,8465
20877,158321
3697,8489
6340,5763
9165,177067
9250,773652
9251,1070257
9265,860800
9262,860801
26117,1796115
36546,773645
9252,1070259
9254,860802
39341,773642
6945,1267874
12124,1070261
39336,773678
9267,773649
9249,950214
9264,773657
9256,773660
38588,1389162
9261,773653
36123,773686
24219,773650
9253,860798
24226,773683
33614,773658
39337,773680
20116,1177187
29990,773656
24212,1796111
9258,773685
24214,1796112
