player_name,club,minutes_played,npxg_per90,xa_per90,shots_on_target_per90,progressive_passes_per90,successful_dribbles_per90,pass_completion_percentage,tackles_interceptions_per90,aerial_duels_won_percentage,ball_recoveries_per90,fouls_committed_per90
Mohamed Salah,Liverpool FC,3377,0.48904352976014215,0.2414569144210838,1.625703286941072,12.552561445069587,1.5457506662718388,73.85,0.7995262066923304,39.13,2.6917382291975125,0.6662718389102753
Cole Palmer,Chelsea,3195,0.37661971830985913,0.25746478873239437,1.4366197183098592,14.225352112676056,1.4366197183098592,83.13,1.267605633802817,22.22,2.9859154929577465,0.4225352112676056
Mark Travers,Bournemouth,450,0.0,0.002,0.0,1.8,0.0,62.83,0.0,100.0,7.0,0.0
Bruno Fernandes,Manchester United,3024,0.2264880952380952,0.2375,0.863095238095238,19.25595238095238,0.8333333333333333,81.53,3.2738095238095237,44.23,6.339285714285714,0.9523809523809523
Matheus Cunha,Wolverhampton,2600,0.29873076923076924,0.18276923076923077,1.523076923076923,10.419230769230769,2.1115384615384616,79.35,1.9038461538461537,30.95,4.326923076923077,1.4538461538461538
Bukayo Saka,Arsenal,1735,0.3148703170028818,0.4046109510086455,1.1930835734870318,16.85878962536023,2.126801152737752,84.28,1.659942363112392,33.33,3.631123919308357,0.7780979827089337
Bryan Mbeumo,Brentford,3415,0.1997657393850659,0.24404099560761347,1.0805270863836018,11.095168374816984,1.3704245973645681,73.9,1.6603221083455344,31.82,4.111273792093704,0.6588579795021963
Antonín Kinský,Tottenham Hotspur,540,0.0,0.0016666666666666668,0.0,0.3333333333333333,0.0,72.63,0.5,100.0,9.166666666666666,0.0
Amad Diallo,Manchester United,1908,0.22122641509433966,0.1971698113207547,0.8018867924528302,13.915094339622643,1.9339622641509435,85.95,2.311320754716981,40.0,5.1415094339622645,0.9905660377358491
Kevin De Bruyne,Manchester City,1715,0.266064139941691,0.35370262390670554,0.944606413994169,24.82215743440233,0.6822157434402332,82.98,1.259475218658892,23.81,3.3586005830903787,0.8921282798833818
Mark Flekken,Brentford,3276,0.0,0.004120879120879121,0.0,2.28021978021978,0.027472527472527472,71.79,0.10989010989010989,100.0,8.70879120879121,0.0
Youri Tielemans,Aston Villa,3032,0.0753957783641161,0.16771108179419525,0.3858839050131926,14.010554089709762,0.9201846965699209,85.98,3.176121372031662,57.14,4.304089709762533,1.2170184696569921
Joško Gvardiol,Manchester City,3279,0.12598353156450137,0.07987191216834402,0.32936870997255263,19.67978042086002,0.686184812442818,91.38,2.7996340347666973,56.25,3.760292772186643,0.4391582799634035
Declan Rice,Arsenal,2833,0.11150723614542887,0.17885633603953405,0.4765266501941405,15.947758559830568,0.44475820684786443,89.84,2.4779385810095307,59.38,4.955877162019061,0.6671373102717967
Omar Marmoush,Manchester City,1190,0.4152100840336135,0.16033613445378153,1.2857142857142858,9.907563025210084,1.512605042016807,84.27,1.4369747899159664,31.25,2.7983193277310927,1.134453781512605
Savinho,Manchester City,1770,0.2547457627118644,0.31016949152542367,1.0677966101694916,20.89830508474576,2.6440677966101696,87.29,1.4745762711864405,33.33,4.016949152542373,0.8644067796610169
Martin Ødegaard,Arsenal,2328,0.15579896907216492,0.2574742268041237,0.6572164948453608,23.65979381443299,0.9664948453608248,86.9,0.9664948453608248,53.33,3.75,0.4639175257731959
Enzo Fernández,Chelsea,2946,0.18727087576374746,0.190020366598778,0.6109979633401221,15.244399185336048,0.7942973523421588,83.75,2.3828920570264764,31.25,4.765784114052953,1.5885947046843176
James Maddison,Tottenham Hotspur,1826,0.2873493975903615,0.29129244249726177,0.8378970427163198,19.616648411829136,1.6265060240963856,86.75,2.1193866374589265,38.46,3.7458926615553123,1.5772179627601315
Mateo Kovačić,Manchester City,2207,0.07666515632079746,0.131717263253285,0.4893520616221115,26.057997281377435,0.8971454463072044,92.76,3.792478477571364,52.63,4.648844585410059,0.978704123244223
James Tarkowski,Everton,2924,0.040321477428180576,0.07233242134062928,0.12311901504787963,4.093707250341997,0.15389876880984954,81.6,3.2318741450068402,74.64,3.0164158686730507,1.0772913816689467
Jérémy Doku,Manchester City,1533,0.07749510763209393,0.223091976516634,0.5283757338551859,22.426614481409,6.281800391389432,84.43,2.054794520547945,0.0,3.698630136986301,0.5870841487279843
Alexander Isak,Newcastle United,2769,0.562296858071506,0.11700975081256772,1.495124593716143,8.320693391115926,1.3651137594799567,77.05,0.48754062838569884,32.53,1.7876489707475625,0.8775731310942578
