competition_id,competition,country
PLZJ,Central Youth League,Poland
POPU,STS Polish Cup,Poland
PLSC,Superpuchar Polski,Poland
NO1,Eliteserien,Norway
NO2,OBOS-ligaen,Norway
NO31,PostNord-ligaen Avd. 1,Norway
NO32,PostNord-ligaen Avd. 2,Norway
NO41,Norsk Tipping-Ligaen avdeling 1,Norway
NO42,Norsk Tipping-Ligaen avdeling 2,Norway
NO43,Norsk Tipping-Ligaen avdeling 3,Norway
NO44,Norsk Tipping-Ligaen avdeling 4,Norway
NO45,Norsk Tipping-Ligaen avdeling 5,Norway
NO46,Norsk Tipping-Ligaen avdeling 6,Norway
NOPO,NM-Cup,Norway
SC1,Scottish Premiership,Scotland
SC2,Scottish Championship,Scotland
SC3,Scottish League One,Scotland
SC4,Scottish League Two,Scotland
SC5L,Scottish Lowland Football League,Scotland
SC5H,Scottish Highland Football League,Scotland
SFA,Scottish FA Cup,Scotland
SCPM,Scottish Premiership Top Six Split,Scotland
SCPA,Scottish Premiership Relegation Round,Scotland
SL2P,Scottish League Two Play Offs,Scotland
SCP,Scottish League Cup,Scotland
SSC,Scottish Challenge Cup,Scotland
MO1N,Super Liga,Moldova
MOP2,Super Liga (Phase 2),Moldova
ML1P,Liga 1 (Promotion),Moldova
MWP1,Moldovan Cup,Moldova
NL1,Eredivisie,Netherlands
NL2,Keuken Kampioen Divisie,Netherlands
NTD,Tweede Divisie,Netherlands
510,Derde Divisie A,Netherlands
511,Derde Divisie B,Netherlands
211F,U21 Division 1 Fall,Netherlands
212F,U21 Division 2 Fall,Netherlands
NLAJ,U19 Division 1 Spring,Netherlands
211S,U21 Division 1 Spring,Netherlands
NLJV,U19 Division 1 Fall,Netherlands
NLAE,U19 Division 2 Spring,Netherlands
NLEV,U19 Division 2 Fall,Netherlands
212S,U21 Division 2 Spring,Netherlands
NLVB,U17 Division 1 Fall,Netherlands
NLBJ,U17 Divisie 1 Spring,Netherlands
NLP,KNVB Beker,Netherlands
NLSC,Johan Cruijff Schaal,Netherlands
7NP2,O17 Divisie 1 Najaar Degradatiepoule,Netherlands
7NP1,O17 Divisie 1 Najaar Kampioenspoule,Netherlands
NLJB,U19 Cup Netherlands,Netherlands
NLBP,U21 Cup Netherlands,Netherlands
SLO1,Niké Liga,Slovakia
SK2,MONACObet liga,Slovakia
SK19,I. Liga starsieho dorastu,Slovakia
SKC,Slovnaft Cup,Slovakia
SLMR,Nike Liga - Relegation Group,Slovakia
SLAR,Nike Liga - Championship Group,Slovakia
PO1,Liga Portugal,Portugal
PO2,Liga Portugal 2 ,Portugal
PT3A,Liga 3,Portugal
CPSC,Campeonato de Portugal - Série C,Portugal
CPSB,Campeonato de Portugal - Série B,Portugal
CPSA,Campeonato de Portugal - Série A,Portugal
CPSD,Campeonato de Portugal - Série D,Portugal
PT23,Liga Revelação U23,Portugal
POPO,Taça de Portugal,Portugal
POSU,Supertaça Cândido de Oliveira,Portugal
P3Au,Liga 3 - Promotion stage,Portugal
P23C,Liga Revelação U23 - Championship round,Portugal
P23Q,Liga Revelação U23 - Qualifikation round,Portugal
P3As,Liga 3 - Relegation round,Portugal
POCP,Allianz Cup,Portugal
RU1,Premier Liga,Russia
RU2,1.Division,Russia
R3D1,2. Division A (Phase 1),Russia
R3D2,2. Division A (Phase 2),Russia
2DVB,2. Division B,Russia
RJL2,U19 M-Liga (since 2024),Russia
Y246,YFL U16,Russia
Y047,YFL U17,Russia
RUP,Russian Cup,Russia
RUSS,Russian Super Cup,Russia
UKR1,Premier Liga,Ukraine
UKR2,Persha Liga,Ukraine
UA3L,Druga Liga,Ukraine
UA19,U19 Premier Liga,Ukraine
UKRP,Ukrainian Cup,Ukraine
SER1,Super liga Srbije,Serbia
SER2,Prva liga Srbije,Serbia
SB19,Omladinska liga Srbije,Serbia
SB17,Kadetska liga Srbije,Serbia
SERP,Kup Srbije,Serbia
SL1,Prva Liga,Slovenia
SL2,Druga Liga,Slovenia
SL19,NextGen Liga,Slovenia
SLP,Pokal Slovenije,Slovenia
TR1,Süper Lig,Türkiye
TR2,1.Lig,Türkiye
TR3A,2.Lig Beyaz,Türkiye
TR3B,2.Lig Kirmizi,Türkiye
TR4A,3.Lig Grup 1,Türkiye
TR4B,3.Lig Grup 2,Türkiye
TR4C,3.Lig Grup 3,Türkiye
TR4D,3.Lig Grup 4,Türkiye
T191,U19 Süper Lig,Türkiye
TRP,Türkiye Kupasi,Türkiye
TRS,TFF Süper Kupa,Türkiye
RO1,SuperLiga,Romania
RO2,Liga 2,Romania
ROMP,Romanian Cup,Romania
ROMS,Romanian Supercup,Romania
R2AP,Liga 2 Play-Off,Romania
RO1C,SuperLiga - Championship group,Romania
RO1R,SuperLiga - Relegation group,Romania
R2AO,Liga 2 Play-Out,Romania
WAL1,Cymru Premier,Wales
WAL2,Cymru North,Wales
WA2S,Cymru South,Wales
WALE,Welsh Cup,Wales
WALC,Welsh League Cup,Wales
WALM,Welsh Tier Two League Cup,Wales
SMR1,Campionato Sammarinese,San Marino
SMP1,Coppa Titano,San Marino
SMRS,Supercoppa San Marino,San Marino
SE1,Allsvenskan,Sweden
SE2,Superettan,Sweden
SE3N,Ettan Norra,Sweden
SE3S,Ettan Södra,Sweden
SEC,Svenska Cupen,Sweden
ES1,LaLiga,Spain
ES2,LaLiga2,Spain
E3G2,Primera Federación - Grupo II,Spain
E3G1,Primera Federación - Grupo I,Spain
E4G2,Segunda Federación - Grupo II,Spain
E4G1,Segunda Federación - Grupo I,Spain
E4G3,Segunda Federación - Grupo III,Spain
E4G4,Segunda Federación - Grupo IV,Spain
E4G5,Segunda Federación - Grupo V,Spain
CDR,Copa del Rey,Spain
SUC,Supercopa,Spain
CEF1,Copa Federation,Spain
C1,Super League,Switzerland
C2,Challenge League,Switzerland
CHPR,Promotion League,Switzerland
CHC1,1. Liga Classic group 1,Switzerland
CHC2,1. Liga Classic group 2,Switzerland
CHC3,1. Liga Classic group 3,Switzerland
CIR1,2. Liga interregional - Gruppe 1,Switzerland
CIR2,2. Liga interregional - Gruppe 2,Switzerland
CIR3,2. Liga interregional - Gruppe 3,Switzerland
CIR4,2. Liga interregional - Gruppe 4,Switzerland
CIR5,2. Liga interregional - Gruppe 5,Switzerland
C191,Swiss U19 Elite League,Switzerland
CH17,Swiss U17 Elite League,Switzerland
SCC,Swiss Cup,Switzerland
SUIC,Swiss Cup qualifiers,Switzerland
C17C,Schweizer Cup U17,Switzerland
C19C,Schweizer Cup U19,Switzerland
LAO1,Lao League 1,Laos
LAP1,Prime Minister Cup ,Laos
