player_id,team_id,name,season_type
847988,213534,Marcelo Miño,1
150093,10082,Eduardo Salvio,1
1200718,10079,Joaquín García,1
1277904,89396,Bruno Leyes,1
1661207,10094,Mikel Amondarain,1
1435861,213596,Diego Barrera,1
1250658,10084,Alejo Veliz,1
1206830,10103,Ignacio Miramón,1
1273505,161729,Matías Fernández,1
56829,10094,Fernando Muslera,1
469007,10082,Ramiro Carrera,1
874620,10084,Emanuel Coronel,1
1214100,10094,Gastón Benedetti,1
856317,213596,Santiago Moyano,1
846916,10081,Lucas Carrizo,1
615932,10090,Jonathan Galván,1
1344726,10094,Tomás Palacios,1
917619,10090,Gastón Lodico,1
1380869,298629,Facundo Miño,1
237606,10077,Leandro Paredes,1
1634839,10077,Milton Delgado,1
1478196,10083,Mathías de Ritis,1
1218336,10089,Juan Gauto,1
724854,10077,Santiago Ascacíbar,1
360799,10079,Claudio Baeza,1
892697,161727,Maximiliano Villa,1
1242942,10087,Nacho Pais,1
1276036,10089,Franco Zapiola,1
925286,213534,Nicolás Demartini,1
164020,10077,Agustín Marchesín,1
1213003,10201,Rodrigo Herrera,1
267894,10094,Guido Carrillo,1
1206543,161730,Fernando Román,1
1700581,10201,Luca Regiardo,1
623898,202757,Jonathan Herrera,1
1087551,161730,Damián Fernández,1
510698,10076,Sebastián Driussi,1
1200743,10101,Juan Sforza,1
1439529,202757,Santiago Salle,1
1552554,568727,Agustín Módica,1
1372927,568727,Luciano Paredes,1
1343369,568727,Franco Saavedra,1
566676,10092,Nicolás Fernández,1
429987,161728,Federico Gino,1
892174,161730,David Martínez,1
158533,10087,Sergio Vittor,1
1732714,10092,Alcides Benítez,1
1386069,10089,Maximiliano Amarfil,1
1722224,10201,Facundo Samuel Guch,1
1778729,10087,Tiziano Perrotta,1
830954,568727,Diego Mondino,1
1390351,10090,Jhon Córdoba,1
826418,10077,Miguel Merentiel,1
1044317,10101,Rick,1
1111071,213534,Nicolás Capraro,1
1440175,213591,Matías Valenti,1
1607567,202757,Thiago Santamaría,1
1281396,213591,Agustín Lastra,1
1020747,161728,Nicolás Cordero,1
1781586,10083,Facundo Gulli,1
1457716,213591,Agustin Quiroga,1
785840,10086,Iván Morales,1
1299928,10087,Nicolás Meriano,1
1201768,10094,Eric Meza,1
1039683,213591,Martín Garnerone,1
823206,10081,Lucas Blondel,1
688827,10080,Tomás Conechny,1
1624107,161729,Alejo Osella,1
971264,213534,Facundo Bruera,1
1311635,161728,Agustín Palavecino,1
1242180,10201,Nicolás Goitea,1
1086839,10080,Ulises Ortegoza,1
856200,10103,Agustín Auzmendi,1
1374130,161727,Franco Nicola,1
889715,10096,Brahian Cuello,1
731939,568727,Fermín Antonini,1
787284,10084,Enzo Copetti,1
492640,298629,Juan Cruz Randazzo,1
837870,10084,Jaminton Campaz,1
207642,10078,Santiago Arias,1
1485158,89396,Santiago López,1
586720,213591,Gabriel Alanís,1
1504098,202757,Julián Contrera,1
1088057,213596,Lucas González,1
1037535,10086,Hernán López,1
1226758,161730,Ayrton Portillo,1
841231,213591,Francisco Romero,1
430682,213591,Sergio Ojeda,1
167569,10089,Víctor Cuesta,1
1085213,213591,Mateo Bajamich,1
1231183,213591,Juan Antonini,1
1737756,10083,Ignacio Perruzzi,1
1200663,298629,Pedro Ramírez,1
1230316,161727,Ignacio Galván,1
1314171,161729,Gonzalo Ríos,1
1667732,10082,Agustín Medina,1
1238746,202757,Manuel García,1
1336106,10087,David Zalazar,1
618716,10079,Rodrigo Aliendro,1
1680411,10094,Fabricio Pérez,1
1435009,161729,Tomás Bottari,1
168390,161730,Rubén Botta,1
745206,213534,Jhonatan Candia,1
1206551,10103,Manuel Panaro,1
1246078,10087,Lautaro Villegas,1
741193,213591,Nicolás Talpone,1
683535,161728,Esteban Rolón,1
1372218,10201,Walter Núñez,1
812450,10201,Walter Mazzantti,1
1640274,161727,Clever Ferreira,1
1477849,10083,Rodrigo Auzmendi,1
892643,10201,Luciano Herrera,1
1200765,213591,Siro Rosané,1
1336567,161727,Kevin Ortiz,1
1477837,10201,Jeronimo Russo,1
693430,10084,Alexis Soto,1
1231195,10094,Tiago Palacios,1
528063,202757,Lucas Suárez,1
902983,298629,Yonatan Goitía,1
787440,10079,Lucas Robertone,1
1338015,10084,Julián Fernández,1
1276035,213596,Ezequiel Naya,1
787262,10080,Matías Zaracho,1
954660,10079,Matías Pellegrini,1
1249664,10094,Eros Mancuso,1
1645972,10087,Lautaro Gómez,1
1582679,10076,Ian Subiabre,1
1843096,10086,Facundo Jainikoski,1
1144961,10083,Gastón Hernández,1
1128740,161730,Agustín Hausch,1
