player_id,minutes_played,npxg_per_90,shots_per_90,sot_per_90,headed_shots_per_90,top_speed,distance_covered_per_90,running_distance_per_90,sprint_distance_per_90,sprints_per_90,xa_per_90,succ_pass_per_90,succ_pass_rate,acc_long_balls_per_90,succ_long_balls_rate,chances_created_per_90,big_chances_created_per_90,succ_crosses_per_90,succ_crosses_rate,succ_dribbles_per_90,succ_dribbles_rate,duels_won_per_90,duels_won_rate,aerials_won_per_90,aerials_won_rate,touches_per_90,touches_opp_box_per_90,dispossessed_per_90,fouls_won_per_90,defcon_per_90,tackles_per_90,interceptions_per_90,blocks_per_90,fouls_committed_per_90,recoveries_per_90,poss_won_final_3rd_per_90,succ_dribbles_def_per_90,clearances_per_90
655692,2790,0.10040967502901631,1.2903225806451613,0.7096774193548387,0.16129032258064516,,,,,,0.11064636322759812,33.03225806451613,84.3492586490939,2.161290322580645,56.779661016949156,0.7419354838709677,0.0967741935483871,0.0967741935483871,33.333333333333336,0.5806451612903226,81.81818181818181,3.5161290322580645,62.285714285714285,1,65.95744680851064,51.29032258064517,1.7096774193548387,0.5806451612903226,1.1612903225806452,4.419354838709678,0.9032258064516129,1.4193548387096775,0.3225806451612903,0.5806451612903226,5.451612903225807,0.22580645161290322,0.3870967741935484,1.7741935483870968
706973,2880,0.047215623781085014,0.34375,0.125,0.09375,,,,,,0.05453708581626415,32.34375,81.1128526645768,3.03125,49.23857868020305,0.375,0.0625,0.15625,35.714285714285715,0.0625,40,3.5625,59.375,1.84375,57.84313725490196,54.56249999999999,1.0625,0.0625,0.5625,8.375,1.09375,1.03125,0.4375,0.46875,3.03125,0.09375,0.53125,5.812500000000001
447085,2830,0.07360918698799483,0.8904593639575972,0.31802120141342755,0.0636042402826855,,,,,,0.09335798678044295,24.328621908127207,67.10526315789474,2.5441696113074204,40.20100502512563,0.763250883392226,0.254416961130742,0.6678445229681979,15.441176470588236,0.6360424028268551,44.44444444444444,6.106007067137808,57.142857142857146,1.685512367491166,58.24175824175824,68.31095406360424,1.558303886925795,0.508833922261484,1.3674911660777385,6.23321554770318,2.480565371024735,0.9222614840989399,0.03180212014134275,0.9858657243816255,3.5618374558303887,0.4452296819787986,1.2084805653710247,2.798586572438163
1284330,2829,0.03207741271653079,0.6044538706256628,0.06362672322375398,0.09544008483563098,,,,,,0.025614590748496677,26.977730646871688,76.2589928057554,2.8632025450689285,49.45054945054945,0.47720042417815484,0.09544008483563098,0.09544008483563098,42.857142857142854,0.3817603393425239,57.142857142857146,5.185577942735949,51.910828025477706,1.3679745493107105,50,49.46977730646872,0.8271474019088018,0.8271474019088018,0.9225874867444327,5.885471898197244,2.545068928950159,0.44538706256627786,0.6362672322375398,1.6224814422057265,4.931071049840933,0.12725344644750797,0.8271474019088018,2.2587486744432663
1189794,2520,0.10542857008320945,0.8571428571428572,0.25,0.6071428571428572,,,,,,0.018769777779068266,40.285714285714285,88.54003139717426,3.6428571428571432,63.35403726708075,0.25,0.03571428571428571,,,0.2142857142857143,60,6.035714285714286,64.75095785440612,3.3214285714285716,65.95744680851064,63.392857142857146,1.7857142857142856,0.10714285714285715,0.5,12.928571428571427,2,1.3214285714285714,1.0714285714285714,0.8214285714285715,3.357142857142857,,0.5357142857142857,8.535714285714285
1385166,2790,0.046287096315814596,0.25806451612903225,0.22580645161290322,0.12903225806451613,,,,,,0.05403572128665062,31.258064516129032,83.31900257953568,3.5483870967741935,56.70103092783505,0.2903225806451613,0.06451612903225806,0.12903225806451613,80,0.22580645161290322,58.333333333333336,4.096774193548387,64.46700507614213,1.3870967741935485,55.84415584415584,54.29032258064517,0.8064516129032258,0.1935483870967742,0.8387096774193549,9.741935483870968,1.6774193548387097,1.6451612903225807,1.032258064516129,0.4838709677419355,2.774193548387097,,0.3225806451612903,5.387096774193548
167116,2747,0.015100473527870136,0.19657808518383693,0.03276301419730615,0.03276301419730615,,,,,,0.04283491214232137,28.536585365853657,87.18718718718719,1.0811794685111031,37.07865168539326,0.16381507098653075,0.03276301419730615,0.03276301419730615,33.333333333333336,0.0655260283946123,66.66666666666667,4.291954859847106,53.90946502057613,1.7036767382599198,49.056603773584904,46.392428103385505,0.8518383691299599,0.1310520567892246,0.7207863123407353,9.435748088824173,1.8019657808518383,1.1467054969057153,0.6880232981434291,1.1794685111030216,2.915908263560248,,0.6224972697488169,5.799053512923188
731314,2775,0.03243567621385729,0.3567567567567568,0.0972972972972973,0.12972972972972974,,,,,,0.05094890336732607,42,79.4478527607362,4.475675675675675,41.19402985074627,0.3891891891891892,,0.032432432432432434,20,,,5.87027027027027,60.94276094276094,3.924324324324324,61.421319796954315,70.83243243243243,1.491891891891892,0.06486486486486487,0.6810810810810811,12.259459459459459,1.3945945945945946,1.037837837837838,0.8432432432432432,0.7783783783783784,3.72972972972973,0.06486486486486487,0.4864864864864865,8.983783783783784
658636,2741,0.0984516590888028,1.2477198102882159,0.5253557095950383,0.22984312294782927,,,,,,0.06162771035702026,23.805180591025174,75.67849686847599,1.2805545421379059,58.208955223880594,0.8865377599416272,0.13133892739875958,0.26267785479751915,18.181818181818183,0.22984312294782927,25.925925925925927,4.7282013863553445,43.63636363636363,2.0029186428310837,44.85294117647059,46.06712878511492,2.4954396205764318,1.2805545421379059,0.9850419554906967,3.808828894564028,1.608901860634805,0.8537030280919372,0.13133892739875958,1.1492156147391464,4.301349872309376,0.5581904414447282,0.6566946369937979,1.2148850784385261
1029360,2756,0.2431698089414134,2.0899854862119014,0.6204644412191582,0.29390420899854863,,,,,,0.11814566239909267,23.80624092888244,77.63578274760384,2.449201741654572,49.01960784313726,0.7837445573294629,0.09796806966618286,0.6531204644412192,19.607843137254903,0.4898403483309144,55.55555555555556,2.7757619738751815,48.0225988700565,0.7837445573294629,45.283018867924525,53.490566037735846,2.8410740203193035,0.5224963715529753,0.6531204644412192,3.853410740203193,0.8490566037735848,0.5224963715529753,0.39187227866473145,0.5551523947750363,3.559506531204644,0.19593613933236573,0.6531204644412192,2.0899854862119014
951288,2700,0.021496666471163432,0.4,0.16666666666666669,0.2,,,,,,0.06051352620124817,40.166666666666664,76.60521296884933,4.5,39.473684210526315,0.4,0.13333333333333333,0.26666666666666666,30.76923076923077,0.43333333333333335,76.47058823529412,6.699999999999999,62.422360248447205,3.1333333333333333,59.87261146496815,70,1.3,0.33333333333333337,1.4333333333333333,9.233333333333334,1.7,1.0666666666666667,1,0.6000000000000001,4.7,0.03333333333333333,0.9,5.466666666666667
688449,2697,0.08122691787257211,0.8342602892102335,0.16685205784204674,0.20022246941045607,,,,,,0.11714252799716224,44.58286985539488,81.21580547112463,6.507230255839823,52.7027027027027,1.1345939933259177,0.3670745272525027,0.4671857619577308,26.923076923076923,0.4671857619577308,51.851851851851855,4.9054505005561735,53.64963503649635,2.0355951056729698,49.59349593495935,75.81757508342604,1.1345939933259177,0.4338153503893215,0.5005561735261401,9.944382647385984,1.935483870967742,1.067853170189099,1.0344827586206897,0.5005561735261401,4.03781979977753,0.16685205784204674,0.8342602892102335,5.906562847608455
