tm_player_id,fotmob_player_id,fotmob_name,tm_name,fallback
262749,562727,David Raya,David Raya,No
357662,654096,Declan Rice,Declan Rice,No
423440,1031325,Martín Zubimendi,Martín Zubimendi,No
435338,795179,Gabriel,Gabriel,No
495666,955406,William Saliba,William Saliba,No
420243,942381,Jurriën Timber,Jurriën Timber,No
325443,664500,Viktor Gyökeres,Viktor Gyökeres,No
433177,961995,Bukayo Saka,Bukayo Saka,No
479999,818975,Eberechi Eze,Eberechi Eze,No
659813,1137667,Piero Hincapié,Piero Hincapié,No
502821,1105912,Riccardo Calafiori,Riccardo Calafiori,No
316264,534670,Martin Ødegaard,Martin Ødegaard,No
503987,1084981,Noni Madueke,Noni Madueke,No
655488,1021586,Gabriel Martinelli,Gabriel Martinelli,No
338424,574645,Mikel Merino,Mikel Merino,No
646750,1298907,Cristhian Mosquera,Cristhian Mosquera,No
335721,776151,Ben White,Ben White,No
890721,1406436,Myles Lewis-Skelly,Myles Lewis-Skelly,No
309400,749736,Kai Havertz,Kai Havertz,No
363205,576165,Gabriel Jesus,Gabriel Jesus,No
890719,1254234,Ethan Nwaneri,Ethan Nwaneri,Yes
1187629,1635773,Max Dowman,Max Dowman,No
340325,748382,Reiss Nelson,Reiss Nelson,Yes
148367,266520,Christian Nørgaard,Christian Nørgaard,No
192279,317564,Kepa Arrizabalaga,Kepa Arrizabalaga,No
567576,1089691,Elliot Anderson,Elliot Anderson,Yes
583255,933576,Antoine Semenyo,Antoine Semenyo,No
392757,844425,Marc Guéhi,Marc Guéhi,No
315858,618878,Gianluigi Donnarumma,Gianluigi Donnarumma,No
418560,737066,Erling Haaland,Erling Haaland,No
601883,955529,Matheus Nunes,Matheus Nunes,No
743413,1300526,Nico O'Reilly,Nico O'Reilly,No
258004,614006,Rúben Dias,Rúben Dias,No
406635,815006,Phil Foden,Phil Foden,No
607223,1104053,Rayan Cherki,Rayan Cherki,No
486049,942368,Jérémy Doku,Jérémy Doku,No
460939,868344,Tijjani Reijnders,Tijjani Reijnders,No
203460,312765,Jack Grealish,Jack Grealish,Yes
466805,1280132,Nico González,Nico González,No
357565,675088,Rodri,Rodri,No
763079,1362998,Abdukodir Khusanov,Abdukodir Khusanov,No
475959,1070712,Josko Gvardiol,Josko Gvardiol,No
578391,933845,Rayan Aït-Nouri,Rayan Aït-Nouri,No
743591,1174337,Savinho,Savinho,No
445939,839204,Omar Marmoush,Omar Marmoush,No
701057,1288450,Rico Lewis,Rico Lewis,No
566799,1187213,James Trafford,James Trafford,No
843595,1414691,Max Alleyne,Max Alleyne,No
51471,239219,Mateo Kovacic,Mateo Kovacic,No
649452,1099974,Issa Kaboré,Issa Kaboré,Fixed
1110406,1406475,Jaden Heskey,Jaden Heskey,Yes
123682,1677188,Jeremy Monga,Jeremy Monga,Yes
1086375,609755,Kalvin Phillips,Kalvin Phillips,Yes
922698,362694,Luke Shaw,Luke Shaw,No
817612,422685,Bruno Fernandes,Bruno Fernandes,No
279455,1178602,Senne Lammens,Senne Lammens,No
1348941,923312,Bryan Mbeumo,Bryan Mbeumo,No
74960,751550,Diogo Dalot,Diogo Dalot,No
568693,863098,Matheus Cunha,Matheus Cunha,No
1111589,1070052,Amad Diallo,Amad Diallo,No
522784,163604,Karl Darlow,Karl Darlow,Yes
75489,465960,Youri Tielemans,Youri Tielemans,Yes
206040,1358581,Leny Yoro,Leny Yoro,No
1064471,255610,Harry Maguire,Harry Maguire,No
871335,1292810,Kobbie Mainoo,Kobbie Mainoo,No
426192,1073977,Benjamin Sesko,Benjamin Sesko,No
1091219,1526560,Patrick Dorgu,Patrick Dorgu,No
743600,1372921,Andrey Santos,Andrey Santos,Yes
480762,847983,Lisandro Martínez,Lisandro Martínez,No
326031,769895,Matthijs de Ligt,Matthijs de Ligt,No
346483,750032,Mason Mount,Mason Mount,No
340456,775539,Noussair Mazraoui,Noussair Mazraoui,No
1078163,1559639,Ayden Heaven,Ayden Heaven,No
476701,1035614,Manuel Ugarte,Manuel Ugarte,No
435648,950830,Joshua Zirkzee,Joshua Zirkzee,No
336077,866967,Altay Bayindir,Altay Bayındır,No
1011738,1430832,Harry Amass,Harry Amass,Yes
654253,1421810,Toby Collyer,Toby Collyer,Yes
503743,883080,Morgan Rogers,Morgan Rogers,No
413403,710159,Ezri Konsa,Ezri Konsa,No
425334,729731,Matty Cash,Matty Cash,No
324358,540088,Ollie Watkins,Ollie Watkins,No
111873,268375,Emiliano Martínez,Emiliano Martínez,No
193116,356406,John McGinn,John McGinn,No
126664,210111,Lucas Digne,Lucas Digne,No
485706,1185748,Amadou Onana,Amadou Onana,No
321247,610184,Emiliano Buendía,Emiliano Buendía,No
485585,966026,Ian Maatsen,Ian Maatsen,No
399776,792645,Pau Torres,Pau Torres,No
394327,816325,Boubacar Kamara,Boubacar Kamara,No
253677,419664,Tyrone Mings,Tyrone Mings,No
645686,1190033,Lamare Bogarde,Lamare Bogarde,No
184573,258269,Victor Nilsson Lindelöf,Victor Lindelöf,No
