tm_competition_id,fotmob_league_id,score,tm_league_name,fotmob_league_name
NO31,204,100,PostNord-ligaen Avd. 1,PostNord-ligaen
NO32,204,100,PostNord-ligaen Avd. 2,PostNord-ligaen
NO41,205,100,Norsk Tipping-Ligaen avdeling 1,Norsk Tipping-ligaen
NO42,205,100,Norsk Tipping-Ligaen avdeling 2,Norsk Tipping-ligaen
NO43,205,100,Norsk Tipping-Ligaen avdeling 3,Norsk Tipping-ligaen
NO44,205,100,Norsk Tipping-Ligaen avdeling 4,Norsk Tipping-ligaen
NO45,205,100,Norsk Tipping-Ligaen avdeling 5,Norsk Tipping-ligaen
NO46,205,100,Norsk Tipping-Ligaen avdeling 6,Norsk Tipping-ligaen
PN1A,9039,100,Liga Panamena de Futbol Apertura,LPF
PN1C,9039,100,Liga Panamena de Futbol Clausura,LPF
PR1A,199,100,Primera Divisi髇 Apertura,Division Profesional
PR1C,199,100,Primera Divisi髇 Clausura,Division Profesional
TDeA,131,100,Liga 1 Apertura,Liga 1
TDeC,131,100,Liga 1 Clausura,Liga 1
PL1,196,100,PKO BP Ekstraklasa,Ekstraklasa
PL2,197,100,Betclic 1 Liga,I Liga
PL2L,8935,100,Betclic 2 Liga,II Liga
PO1,61,100,Liga Portugal,Liga Portugal
PO2,185,100,Liga Portugal 2 ,Liga Portugal 2
PT3A,9112,100,Liga 3,Liga 3
RO1,189,100,SuperLiga,Liga I
RO2,9113,100,Liga 2,Liga II
RU1,63,100,Premier Liga,Russian Premier League
RU2,338,100,1.Division,1.Division
R3D1,9123,100,2. Division A (Phase 1),Second League
2DVB,9123,100,2. Division A (Phase 2),Second League
SC1,64,100,Scottish Premiership,Premiership
SC2,123,100,Scottish Championship,Championship
SC3,124,100,Scottish League One,League One
SC4,125,100,Scottish League Two,League Two
SC5H,9545,100,Scottish Highland Football League,Highland / Lowland
SC5L,9545,100,Scottish Lowland Football League,Highland / Lowland
SER1,182,100,Super liga Srbije,Super Liga
SIN1,461,100,Singapore Premier League,Singapore Premier League
SL1,173,100,Prva Liga,Prva Liga
