league_id,League Name,2025-2026_season_id,2024-2025_season_id,2023-2024_season_id,,,,,,,
112,Argentina Liga Profesional,28207,24590,22635,,,,,,,
144,Bolivia Primera Division,1000000344,1000000241,,,,,,,,
268,Brazil Serie A,1000000388,25077,22978,,,,,,,
8814,Brazil Serie B,1000000394,25150,23001,,,,,,,
10272,Brazil Carioca,29862,24436,22403,,,,,,,
10274,Brazil Ga̼cho,29625,24466,22507,,,,,,,
10273,Brazil Mineiro,29767,24448,22544,,,,,,,
10244,Brazil Paulista A1,29797,24390,22537,,,,,,,
9986,Canada Premier League,1000000328,25164,22812,,,,,,,
273,Chile Liga de Primera,1000000461,24934,22749,,,,,,,
120,China Super League,31228,24962,22890,,,,,,,
274,Colombia Primera A,30537,24856,22613,,,,,,,
246,Ecuador Serie A,1000000345,1000000242,,,,,,,,
215,Iceland Besta deildin,32105,24870,22620,,,,,,,
126,Ireland Premier Division,30076,24496,22578,,,,,,,
59,Norway Eliteserien,30202,24542,22600,,,,,,,
9080,South Korea K League 1,30957,24855,22770,,,,,,,
9116,South Korea K League 2,31136,24919,22771,,,,,,,
67,Sweden Allsvenskan,30261,24511,22583,,,,,,,
130,United States MLS,29580,24524,22602,,,,,,,
8972,United States USL Championship,30301,24597,22596,,,,,,,
9296,United States USL League One,30272,24600,22361,,,,,,,
10282,United States MLS Next Pro,1000000329,1000000224,22893,,,,,,,
51,Finland Veikkausliiga,31102,25278,,,,,,,,
199,Paraguay Division Profesional,1000000333,1000000243,,,,,,,,
131,Peru Liga 1,1000000465,24871,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,24590,22635
,,,,,,,,,,1000000241,
,,,,,,,,,,25077,22978
,,,,,,,,,,25150,23001
,,,,,,,,,,24436,22403
,,,,,,,,,,24466,22507
,,,,,,,,,,24448,22544
,,,,,,,,,,24390,22537
,,,,,,,,,,25164,22812
,,,,,,,,,,24934,22749
,,,,,,,,,,24962,22890
,,,,,,,,,,25299,22979
,,,,,,,,,,24856,22613
,,,,,,,,,,1000000242,
,,,,,,,,,,24870,22620
,,,,,,,,,,24496,22578
,,,,,,,,,,24542,22600
,,,,,,,,,,24540,22601
,,,,,,,,,,24855,22770
,,,,,,,,,,24919,22771
,,,,,,,,,,24511,22583
,,,,,,,,,,24524,22602
,,,,,,,,,,24597,22596
,,,,,,,,,,24600,22361
,,,,,,,,,,1000000224,22893
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,23989,21861
,,,,,,,,,,23776,21107
,,,,,,,,,,23650,20957
,,,,,,,,,,,
,,,,,,,,,,23812,21214
,,,,,,,,,,23618,20941
,,,,,,,,,,23728,20955
,,,,,,,,,,23688,21015
,,,,,,,,,,23624,20962
,,,,,,,,,,24306,22011
,,,,,,,,,,23744,20721
,,,,,,,,,,23745,20722
,,,,,,,,,,23746,20723
,,,,,,,,,,23685,20720
,,,,,,,,,,,
,,,,,,,,,,23724,20868
,,,,,,,,,,23725,20971
,,,,,,,,,,23795,20947
,,,,,,,,,,23847,20949
,,,,,,,,,,23794,20946
,,,,,,,,,,23900,21439
,,,,,,,,,,24127,21961
,,,,,,,,,,23819,20956
,,,,,,,,,,23861,21310
,,,,,,,,,,24506,22617
,,,,,,,,,,23873,21270
,,,,,,,,,,23696,21112
,,,,,,,,,,23691,21111
,,,,,,,,,,23622,20954
,,,,,,,,,,23826,21251
,,,,,,,,,,23796,21109
,,,,,,,,,,23727,21085
,,,,,,,,,,,
,,,,,,,,,,23876,21460
,,,,,,,,,,23758,21119
,,,,,,,,,,23730,21106
,,,,,,,,,,23981,21358
,,,,,,,,,,23686,21053
,,,,,,,,,,23755,21113
,,,,,,,,,,23694,21046
,,,,,,,,,,23693,21045
,,,,,,,,,,23935,21476
,,,,,,,,,,23864,21459
,,,,,,,,,,23782,21294
,,,,,,,,,,23846,21096
