league_id,team_id,team_name
71,8622,Konyaspor
71,1569,Kocaelispor
71,4678,Alanyaspor
71,4081,Gaziantep FK
71,4685,Kasımpaşa
71,7800,Gençlerbirliği
71,4681,Eyüpspor
71,1931,Antalyaspor
71,10182,Kayserispor
71,2088,Fatih Karagümrük
86,7881,Venezia
86,9891,Frosinone
86,6504,Monza
86,8540,Palermo
86,10168,Catanzaro
86,9887,Modena
86,6106,Juve Stabia
86,6722,Avellino
86,9889,Mantova
86,583944,Padova
86,584022,Cesena
86,6488,Carrarese
86,9882,Sampdoria
86,208932,Virtus Entella
86,8534,Empoli
86,189475,Südtirol
86,9976,Bari
86,6500,Reggiana
86,9881,Spezia
86,9878,Pescara
87,8634,Barcelona
87,8633,Real Madrid
87,10205,Villarreal
87,9906,Atletico Madrid
87,8603,Real Betis
87,9910,Celta Vigo
87,8305,Getafe
87,8370,Rayo Vallecano
87,10267,Valencia
87,8560,Real Sociedad
87,8558,Espanyol
87,8315,Athletic Club
87,8302,Sevilla
87,9866,Deportivo Alaves
87,10268,Elche
87,8581,Levante
87,8371,Osasuna
87,8661,Mallorca
87,7732,Girona
87,8670,Real Oviedo
108,8430,Lincoln City
108,8344,Cardiff City
108,10007,Stockport County
108,8484,Bradford City
108,8559,Bolton Wanderers
108,10253,Stevenage
108,8346,Luton Town
108,8401,Plymouth Argyle
108,9796,Huddersfield Town
108,9818,Mansfield Town
108,8676,Wycombe Wanderers
108,9798,Reading
108,8483,Blackpool
108,9903,Doncaster Rovers
108,8283,Barnsley
108,8528,Wigan Athletic
108,9792,Burton Albion
108,8677,Peterborough United
108,158319,AFC Wimbledon
108,8351,Leyton Orient
108,9833,Exeter City
108,9799,Port Vale
108,8119,Rotherham United
108,8651,Northampton Town
110,10242,Troyes
110,8682,Le Mans
110,9853,Saint-Etienne
110,6390,Red Star
110,4120,Rodez
110,9837,Reims
110,293352,Annecy FC
110,10249,Montpellier
110,6355,Pau
110,47214,Dunkerque
110,9747,Guingamp
110,9855,Grenoble
110,8311,Clermont Foot
110,8481,Nancy
110,4170,Boulogne
110,7853,Laval
110,7794,SC Bastia
110,8587,Amiens
112,10077,Boca Juniors
112,213596,Central Cordoba de Santiago
112,10089,Club Atletico Platense
112,161730,Defensa y Justicia
112,298629,Deportivo Riestra
112,10094,Estudiantes
112,568727,Gimnasia Mendoza
112,10078,Independiente
112,10090,Instituto
112,10082,Lanus
112,10201,Newell's Old Boys
112,10083,San Lorenzo
112,10101,Talleres
112,10096,Union
112,10079,Velez Sarsfield
112,161728,Aldosivi
112,10086,Argentinos Juniors
112,161727,Atletico Tucuman
112,10087,Banfield
