player_id,club_id,minutes_played,npxg_per_90,shots_per_90,sot_per_90,headed_shots_per_90,xa_per_90,succ_pass_per_90,succ_pass_rate,acc_long_balls_per_90,succ_long_balls_rate,chances_created_per_90,big_chances_created_per_90,succ_crosses_per_90,succ_crosses_rate,succ_dribbles_per_90,succ_dribbles_rate,duels_won_per_90,duels_won_rate,aerials_won_per_90,aerials_won_rate,touches_per_90,touches_opp_box_per_90,dispossessed_per_90,fouls_won_per_90,defcon_per_90,tackles_per_90,interceptions_per_90,blocks_per_90,fouls_committed_per_90,recoveries_per_90,poss_won_final_3rd_per_90,succ_dribbles_def_per_90,clearances_per_90
1670132,9830,817,0.197052632,1.652386781,0.771113831,0.220318237,0.046198069,14.76132191,66.66666667,0.330477356,50,0.771113831,0.220318237,0.550795594,21.73913043,0.991432069,23.68421053,5.728274174,38.51851852,1.432068543,37.14285714,44.94492044,5.287637699,1.542227662,0.991432069,4.29620563,2.313341493,0.550795594,0.110159119,1.652386781,5.067319461,0.440636475,0.660954712,1.321909425
1695681,9829,815,0.013119018,0.220858896,0.110429448,0.110429448,0.17033915,46.60122699,81.94174757,2.098159509,82.60869565,1.435582822,0.441717791,0.220858896,50,1.54601227,70,9.055214724,54.66666667,1.877300613,51.51515152,75.20245399,0.883435583,1.104294479,1.987730061,6.073619632,3.644171779,0.773006135,,2.539877301,5.63190184,0.552147239,1.435582822,1.656441718
848667,8592,737,0.112249661,1.099050204,0.366350068,,0.190006275,35.2917232,82.33618234,1.343283582,57.89473684,1.70963365,0.488466757,0.732700136,60,0.610583446,55.55555556,3.785617368,53.44827586,0.732700136,50,52.51017639,2.686567164,0.366350068,1.343283582,1.465400271,1.221166893,,,0.488466757,2.442333786,0.488466757,1.221166893,
1351065,8689,648,,0.277777778,,,,61.25,89.63414634,3.611111111,57.77777778,,,,,0.416666667,100,4.444444444,69.56521739,2.222222222,69.56521739,79.16666667,0.277777778,0.138888889,0.694444444,5.972222222,1.111111111,1.111111111,0.416666667,0.555555556,4.305555556,,0.277777778,
1553514,9851,798,0.062357145,1.466165414,0.338345865,,0.05418275,47.93233083,83.66141732,3.157894737,54.90196078,0.563909774,,0.676691729,30,1.353383459,63.15789474,6.428571429,52.29357798,1.691729323,68.18181818,87.18045113,0.563909774,1.127819549,1.240601504,9.022556391,2.255639098,2.030075188,0.338345865,1.578947368,,,,
513072,8588,809,0.011881336,0.22249691,,,0.022261019,48.17058096,91.54334038,1.557478368,42.42424242,0.22249691,,0.111248455,33.33333333,0.333745365,60,4.78368356,56.57894737,1.557478368,51.85185185,67.19406675,0.44499382,0.111248455,1.001236094,10.3461063,1.891223733,1.779975278,1.001236094,1.668726823,,,,
1586559,8588,786,0.641805361,4.122137405,1.374045802,0.458015267,0.024649538,12.59541985,75.86206897,0.229007634,66.66666667,0.572519084,,,,1.488549618,44.82758621,8.244274809,49.65517241,1.717557252,39.47368421,40.19083969,6.870229008,1.717557252,3.893129771,2.290076336,1.259541985,0.229007634,0.229007634,1.717557252,1.946564885,0.458015267,0.458015267,0.572519084
1227012,8472,658,0.047858664,0.820668693,0.273556231,,0.083840555,16.68693009,75.77639752,0.273556231,33.33333333,0.957446809,0.273556231,0.683890578,18.51851852,0.957446809,26.92307692,4.103343465,30.6122449,1.23100304,39.13043478,42.26443769,2.188449848,1.641337386,0.410334347,6.018237082,1.504559271,0.273556231,,2.325227964,2.73556231,0.547112462,1.23100304,1.504559271
1387389,178475,1576,0.021420685,0.228426396,0.057106599,,0.07604424,46.77030457,86.48363252,1.199238579,47.72727273,0.685279188,,,,0.342639594,40,2.684010152,33.33333333,0.456852792,28.57142857,65.67258883,0.342639594,0.685279188,0.057106599,5.08248731,1.827411168,1.313451777,0.685279188,1.256345178,5.368020305,0.285532995,1.884517766,
1125076,9748,768,0.06226172,0.234375,0.1171875,0.1171875,0.055194962,40.8984375,84.50363196,0.9375,33.33333333,0.234375,0.234375,,,0.3515625,75,5.0390625,59.72222222,2.2265625,59.375,65.9765625,1.640625,0.1171875,0.46875,9.140625,1.9921875,1.0546875,0.46875,1.171875,4.8046875,0.1171875,0.46875,5.625
622137,8639,2852,0.034150773,0.820476858,0.157784011,,0.107365396,53.70967742,81.63069544,4.733520337,45.87155963,1.041374474,0.126227209,0.599579243,26.02739726,0.441795231,51.85185185,4.859747546,61.84738956,1.072931276,53.125,90.22089762,0.757363254,0.220897616,0.252454418,8.58345021,3.09256662,1.293828892,0.252454418,0.820476858,5.49088359,0.220897616,0.599579243,
1085809,8295,366,0.010942623,0.245901639,,0.245901639,0.061017925,38.60655738,85.79234973,1.475409836,50,0.245901639,0.245901639,,,0.245901639,33.33333333,4.672131148,48.71794872,1.721311475,53.84615385,56.31147541,0.491803279,0.737704918,0.491803279,5.409836066,2.213114754,0.737704918,0.491803279,1.475409836,3.196721311,,0.737704918,1.967213115
485047,9851,1680,0.023008928,0.428571429,,0.160714286,0.075940362,48.75,87.92270531,2.464285714,52.27272727,0.803571429,0.107142857,0.428571429,24.24242424,0.321428571,66.66666667,4.767857143,56.32911392,2.25,63.63636364,71.78571429,0.910714286,0.267857143,0.535714286,6.910714286,1.660714286,1.553571429,0.321428571,1.071428571,3.321428571,0.107142857,0.964285714,3.375
765466,9851,2300,0.211183032,1.604347826,0.430434783,,0.292427245,21.20869565,76.44569817,1.526086957,44.82758621,1.995652174,0.430434783,1.408695652,36,0.313043478,33.33333333,4.147826087,49.07407407,0.430434783,42.30769231,44.60869565,2.426086957,0.782608696,1.486956522,3.208695652,1.956521739,0.469565217,0.07826087,1.056521739,4.343478261,0.665217391,1.291304348,
1469819,8550,746,0.013282842,0.241286863,0.120643432,,0.033295508,60.92493298,91.48550725,4.463806971,62.71186441,,,0.361930295,37.5,0.844504021,58.33333333,3.860589812,61.53846154,0.361930295,50,83.60589812,0.482573727,0.120643432,1.327077748,6.997319035,1.327077748,1.689008043,0.72386059,1.085790885,4.584450402,0.361930295,0.241286863,3.257372654
1427808,8689,745,0.102950339,0.845637584,0.483221477,0.241610738,0.332000275,24.28187919,79.76190476,0.724832215,40,1.208053691,0.604026846,1.208053691,24.3902439,1.208053691,40,5.073825503,42.42424242,0.845637584,38.88888889,57.5033557,4.10738255,0.845637584,1.691275168,5.073825503,1.44966443,1.32885906,0.120805369,1.570469799,4.711409396,0.724832215,1.44966443,2.174496644
866686,10204,203,0.18447783,1.773399015,0.886699507,0.443349754,0.076213813,27.04433498,87.14285714,0.443349754,33.33333333,1.773399015,,1.773399015,57.14285714,,,3.54679803,40,0.886699507,28.57142857,47.8817734,3.103448276,0.443349754,0.443349754,4.433497537,2.216748768,,0.443349754,0.886699507,0.886699507,0.443349754,1.330049261,0.886699507
439366,9746,741,0.08642915,1.578947368,0.48582996,,0.111879195,31.45748988,87.20538721,2.550607287,80.76923077,0.36437247,,0.12145749,7.692307692,0.36437247,33.33333333,4.736842105,54.16666667,0.850202429,50,53.31983806,1.578947368,0.850202429,2.064777328,4.979757085,1.457489879,1.093117409,0.48582996,1.578947368,3.279352227,0.36437247,0.12145749,1.943319838
1189856,8588,711,0.375569621,3.797468354,1.139240506,1.139240506,0.145493248,23.29113924,76.34854772,1.012658228,72.72727273,1.265822785,,0.886075949,53.84615385,0.506329114,36.36363636,5.82278481,46,2.658227848,52.5,51.39240506,7.46835443,1.518987342,1.772151899,2.658227848,0.886075949,0.253164557,,1.772151899,4.303797468,1.139240506,0.379746835,1.518987342
