tm_team_id,fotmob_team_id,tm_name,fotmob_name,
10895,161824,Buxton FC,Buxton,
971,580382,Scarborough Athletic,Scarborough Athletic,
31367,9797,Chester FC,Chester FC,
3937,5762,Merthyr Town FC,Merthyr Town,
37486,8598,Darlington FC,Darlington,
3694,6315,AFC Telford United,AFC Telford United,
23010,161816,Marine FC,Marine,
9643,282390,Radcliffe FC,Radcliffe,
9829,10197,Southport FC,Southport,
13286,274599,Chorley FC,Chorley,
3835,9894,Worksop Town,Worksop Town,
22563,161836,Oxford City,Oxford City,
3682,8717,Bedford Town,Bedford Town,
38899,45731,King's Lynn Town,King's Lynn Town,
46842,799249,Hereford FC,Hereford,
13556,158390,Curzon Ashton,Curzon,
3721,6258,Alfreton Town,Alfreton Town,
68004,674289,Peterborough Sports,Peterborough Sports,
23226,5764,Leamington FC,Leamington,
20116,1177187,Leeds United U21,Leeds United U21,
38588,1389162,Nottingham Forest U21,Nottingham Forest U21,
29990,773656,West Bromwich Albion U21,West Bromwich Albion U21,
12124,1070261,Aston Villa U21,Aston Villa U21,
33614,773658,Norwich City U21,Norwich City U21,
9253,860798,Newcastle United U21,Newcastle United U21,
24219,773650,Stoke City U21,Stoke City U21,
39337,773680,Derby County U21,Derby County U21,
6930,1113543,Manchester City U18,Manchester City U18,
5242,1113551,Manchester United U18,Manchester United U18,
6943,1113561,Newcastle United U18,Newcastle United U18,
12799,1281661,Nottingham Forest U18,Nottingham Forest U18,
6949,1113560,Blackburn Rovers U18,Blackburn Rovers U18,
10002,1113549,Derby County U18,Derby County U18,
10161,1183383,Leeds United U18,Leeds United U18,
12801,1113554,Wolverhampton Wanderers U18,Wolverhampton Wanderers U18,
14494,1113556,Stoke City U18,Stoke City U18,
6928,1113562,Tottenham Hotspur U18,Tottenham Hotspur U18,
6933,1113564,Aston Villa U18,Aston Villa U18,
9606,1113555,Brighton & Hove Albion U18,Brighton & Hove Albion U18,
6950,1183385,Crystal Palace U18,Crystal Palace U18,
6951,1113548,West Bromwich Albion U18,West Bromwich Albion U18,
9955,1113558,West Ham United U18,West Ham United U18,
14389,1113559,Leicester City U18,Leicester City U18,
6898,1113570,Norwich City U18,Norwich City U18,
6938,1281663,Birmingham City U18,Birmingham City U18,
10006,1791531,Ipswich Town U18,Ipswich Town U18,
45922,557101,Spennymoor Town,Spennymoor Town FC,
36546,773645,Southampton FC U21,Southampton U21,
9256,773660,Middlesbrough FC U21,Middlesbrough U21,
9264,773657,Sunderland AFC U21,Sunderland U21,
6920,1113547,Everton FC U18,Everton U18,
6924,1113557,Middlesbrough FC U18,Middlesbrough U18,
12797,1113563,Sunderland AFC U18,Sunderland U18,
6922,1113546,Liverpool FC U18,Liverpool U18,
14466,1183384,Burnley FC U18,Burnley U18,
6918,1113552,Chelsea FC U18,Chelsea U18,
6893,1113567,Southampton FC U18,Southampton U18,
5679,1113566,Arsenal FC U18,Arsenal U18,
6942,1113550,Fulham FC U18,Fulham U18,
11994,1113569,Reading FC U18,Reading U18,
583,9847,Paris Saint-Germain,Paris Saint-Germain,
826,8588,RC Lens,Lens,
1082,8639,LOSC Lille,Lille,
1041,9748,Olympique Lyon,Lyon,
244,8592,Olympique Marseille,Marseille,
273,9851,Stade Rennais FC,Rennes,
162,9829,Ligue 1,Monaco,
667,9848,RC Strasbourg Alsace,Strasbourg,
415,9941,FC Toulouse,Toulouse,
1158,8689,FC Lorient,Lorient,
10004,6379,Paris FC,Paris FC,
3911,8521,Stade Brestois 29,Brest,
1420,8121,Angers SCO,Angers,
738,9746,Le Havre AC,Le Havre,
290,8583,AJ Auxerre,Auxerre,
417,9831,OGC Nice,Nice,
995,9830,FC Nantes,Nantes,
347,8550,FC Metz,Metz,
1095,10242,ESTAC Troyes,Troyes,
1164,8682,Le Mans FC,Le Mans,
618,9853,AS Saint-Ã‰tienne,Saint-Etienne,
1154,6390,Red Star FC,Red Star,
11273,4120,Rodez AF,Rodez,
1421,9837,Stade Reims,Reims,
30204,293352,FC Annecy,Annecy FC,
969,10249,Montpellier HSC,Montpellier,
3166,6355,Pau FC,Pau,
9202,47214,USL Dunkerque,Dunkerque,
855,9747,EA Guingamp,Guingamp,
1290,9855,Grenoble Foot 38,Grenoble,
3524,8311,Clermont Foot 63,Clermont Foot,
1159,8481,AS Nancy-Lorraine,Nancy,
7042,4170,Ligue 2,Boulogne,
1080,7853,Stade Lavallois,Laval,
595,7794,SC Bastia,SC Bastia,
1416,8587,Amiens SC,Amiens,
2969,9836,Dijon FCO,Dijon,
750,9874,FC Sochaux-Montbéliard,Sochaux,
1564,8582,Ligue 2,Rouen,
17442,238687,Football Club Fleury 91,FC Fleury 91,
13466,191111,FC Versailles 78,Versailles,
10868,47211,US OrlÃ©ans,OrlÃ©ans,
26863,293257,Le Puy-en-Velay FC,Le Puy,
1162,7819,Ligue 3,Caen,
21688,47207,US Concarneau,Concarneau,
1423,9873,Valenciennes FC,Valenciennes,
42609,293443,SC Aubagne Air Bel,SC Aubagne Air Bel,
18633,161694,FC Villefranche-Beaujolais,Villefranche Beaujolais,
7124,2517,Quevilly - Rouen MÃ©tropole,Quevilly,
62382,238671,Paris 13 Atletico,Paris 13 Atletico,
2972,6246,Football Bourg-en-Bresse PÃ©ronnas 01,Bourg en Bresse Peronnas,
1175,9854,LB ChÃ¢teauroux,Chateauroux,
1777,685213,Stade Briochin,Stade Briochin,
12,8686,AS Roma,Roma,
46,8636,Inter Milan,Inter,
5,8564,AC Milan,Milan,
130,10167,Parma Calcio 1913,Parma,
252,10233,Genoa CFC,Genoa,
276,9876,Hellas Verona,Hellas Verona,
332,9976,SSC Bari,Bari,
380,6480,US Salernitana 1919,Salernitana,
398,8543,SS Lazio,Lazio,
408,8522,Ascoli Calcio,Ascoli,
410,8600,Udinese Calcio,Udinese,
416,9804,Torino FC,Torino,
430,8535,ACF Fiorentina,Fiorentina,
458,8540,Palermo FC,Palermo,
506,9885,Juventus FC,Juventus,
607,7881,Venezia FC,Venezia,
704,6466,Calcio Foggia 1920,Foggia,
749,8534,FC Empoli,Empoli,
800,8524,Atalanta BC,Atalanta,
839,8685,AC Perugia Calcio,Perugia,
1005,9888,US Lecce,Lecce,
1025,9857,Bologna FC 1909,Bologna,
1038,9882,UC Sampdoria,Sampdoria,
1047,10171,Como 1907,Como,
1103,6457,Ternana Calcio,Ternana,
1105,8545,Ravenna FC,Ravenna,
1210,8537,US Livorno 1915,Livorno,
1385,9887,Modena FC,Modena,
1390,8529,Cagliari Calcio,Cagliari,
1429,584022,Cesena FC,Cesena,
1627,8530,Catania FC,Catania,
2239,7801,US Cremonese,Cremonese,
2253,7856,SEF Torres 1903,Torres,
2331,6722,US Avellino 1912,Avellino,
2581,9889,Mantova 1911,Mantova,
2655,145007,LR Vicenza,LR Vicenza,
2919,6504,AC Monza,Monza,
2921,9878,Delfino Pescara 1936,Pescara,
3037,583944,Calcio Padova,Padova,
3522,9881,Spezia Calcio,Spezia,
4031,6456,Cosenza Calcio,Cosenza,
4083,9884,FC Crotone,Crotone,
4084,6485,AS Cittadella,Cittadella,
4095,6097,AC Trento,Trento,
4097,10168,US Catanzaro,Catanzaro,
4102,208931,AC Carpi,Carpi,
4103,6452,FC Lumezzane,Lumezzane,
4106,277990,Casertana FC,Casertana,
4146,6498,Aurora Pro Patria,Pro Patria,
4159,6488,Carrarese Calcio 1908,Carrarese,
4171,6266,Benevento Calcio,Benevento,
4172,6479,Pisa Sporting Club,Pisa,
4255,9849,SS Arezzo,Arezzo,
4271,9872,US Triestina,Triestina,
4326,6061,AS Gubbio 1910,Gubbio,
4330,8482,US Sambenedettese,Sambenedettese,
4331,208936,FC Trapani 1905,Trapani,
4541,9832,UC AlbinoLeffe,AlbinoLeffe,
4553,474521,US Pergolettese 1932,Pergolettese,
4554,189475,FC SÃ¼dtirol,SÃ¼dtirol,
5514,6512,Calcio Lecco 1912,Lecco,
5542,6494,CPR Ospitaletto,Ospitaletto,
5587,6106,SS Juve Stabia,Juve Stabia,
5621,6500,AC Reggiana 1919,Reggiana,
6089,6460,Casarano Calcio,Casarano,
6195,9875,SSC Napoli,Napoli,
6266,6063,Cavese 1919,Cavese,
6574,7943,US Sassuolo,Sassuolo,
6692,6269,Novara FC,Novara,
7030,6049,Vis Pesaro 1898,Vis Pesaro,
7197,6099,Potenza Calcio,Potenza,
8373,674812,Siracusa Calcio,Siracusa Calcio,
8970,9891,Frosinone Calcio,Frosinone,
9816,6071,ForlÃ¬ FC,ForlÃ¬,
9818,6040,Giugliano Calcio 1928,Giugliano,
10118,88998,Sorrento 1945,Sorrento,
14888,145016,US CittÃ  di Pontedera,Pontedera,
18642,212658,Campobasso FC,Campobasso,
20519,208932,Virtus Entella,Virtus Entella,
22045,212660,Latina Calcio 1932,Latina,
22249,867620,Audace Cerignola,Audace Cerignola,
22408,867623,ASD Team Altamura,Team Altamura,
24898,177522,AC Renate,Renate,
33734,189506,SS Monopoli 1966,Monopoli,
34499,584069,US Pianese,Pianese,
38322,474518,AC Bra,Bra,
